GEOID,exc_jobs,exc_hospitals,exc_groceries,exc_schools,composite_deficit,disadvantage_z,posterior_mean_jobs,composite_rank
06073017701,0.0,1.0,1.0,1.0,0.75,0.1842613535899605,7327.340042818343,85
06073016608,0.0,1.0,1.0,1.0,0.75,-0.2747826600925336,5458.9994733636295,86
06073003800,0.0,1.0,1.0,1.0,0.75,-0.4996321377588829,4946.5843287784,87
06073016621,0.0,1.0,1.0,1.0,0.75,-0.3309521700266726,3658.400811192762,88
06073016619,0.0,1.0,1.0,1.0,0.75,0.2822476127506625,4388.471857893359,89
06073016901,0.0,1.0,1.0,1.0,0.75,-0.2117876031814531,2572.1673338026594,90
06073017601,0.0,1.0,1.0,1.0,0.75,-0.4595465467000523,4154.392944691068,91
06073017047,0.0,1.0,1.0,1.0,0.75,-0.9993616840236552,10267.399706904436,92
06073003207,0.0,1.0,1.0,1.0,0.75,-0.2446002424271614,2534.62457965276,93
06073010015,0.0,1.0,1.0,1.0,0.75,-0.4354881846691845,12599.733628867716,94
06073013412,0.0,1.0,1.0,1.0,0.75,-0.3723106065078605,6962.16557300654,95
06073015405,1.0,0.0,1.0,1.0,0.75,-0.4603794864378299,282.8838559566492,96
06073008345,0.0,1.0,1.0,1.0,0.75,0.2360240381060351,4958.118855615292,97
06073009306,0.0,1.0,1.0,1.0,0.75,-0.4145097963835941,5295.562229770653,98
06073008367,0.0,1.0,1.0,1.0,0.75,0.0312474303065343,5259.895669462106,99
06073008501,0.0,1.0,1.0,1.0,0.75,-0.2996678596360542,6438.0483556976515,100
06073009511,0.0,1.0,1.0,1.0,0.75,0.1445946653763883,5557.270303134966,101
06073010019,0.99965625,0.0,1.0,1.0,0.7499140625,-0.5169517148073975,559.1088358680743,102
06073018617,0.99890625,1.0,0.0,1.0,0.7497265625,-0.4122079268151675,670.5046805197103,103
06073008372,0.9975625,0.0,1.0,1.0,0.749390625,-1.0867482978304377,851.1312720272549,104
06073010109,0.99640625,1.0,1.0,0.0,0.7491015625,-0.1997638526127572,901.5505069621202,105
06073008328,0.9943125,0.0,1.0,1.0,0.748578125,-1.3335094072813949,937.923254000048,106
06073017063,0.055125,0.0,1.0,1.0,0.5137812500000001,-0.3331167423083012,1424.5310945742297,107
06073013506,0.0045625,0.0,1.0,1.0,0.501140625,0.0785676270225487,1661.8766168851305,108
06073020712,0.00175,1.0,1.0,0.0,0.5004375,-0.3533847134003454,1777.9172775181876,109
06073021502,0.000625,0.0,1.0,1.0,0.5001562500000001,-0.5325086553349447,1875.5427670746667,110
06073009902,0.00034375,0.0,1.0,1.0,0.5000859375,0.0,4531.351847036827,111
06073016403,0.00028125,0.0,1.0,1.0,0.5000703125,0.5169589370936247,2619.8005731703447,112
06073020805,0.00025,0.0,1.0,1.0,0.5000625000000001,-0.1549386970102718,2172.432539761949,113
06073010017,0.00021875,0.0,1.0,1.0,0.5000546875,-0.1394989525591674,2313.891856545861,114
06073020812,0.00015625,0.0,1.0,1.0,0.5000390625,0.082665208879662,2248.7666973152986,115
06073018524,9.375e-05,1.0,0.0,1.0,0.5000234375,0.5820532628250312,3457.3160889549467,116
06073018620,9.375e-05,1.0,0.0,1.0,0.5000234375,-0.0490766808908429,2459.356538438228,117
06073013605,6.25e-05,0.0,1.0,1.0,0.5000156250000001,-0.696758417240488,2553.511980657413,118
06073003208,3.125e-05,1.0,1.0,0.0,0.5000078125,0.3393965956934965,3215.67670366289,119
06073016706,3.125e-05,1.0,0.0,1.0,0.5000078125,0.5588419435513551,3116.0816234544695,120
06073020405,0.0,0.0,1.0,1.0,0.5,-0.7051323095616033,3719.470737476233,121
06073020040,0.0,1.0,1.0,0.0,0.5,0.0231199104148337,7799.219578575474,122
06073020030,0.0,0.0,1.0,1.0,0.5,-0.2706234127133404,15323.049428407183,123
06073020031,0.0,1.0,0.0,1.0,0.5,-0.1881411257682056,5794.079819331782,124
06073002502,0.0,1.0,1.0,0.0,0.5,0.5301130086012872,9140.650483578838,125
06073007601,0.0,0.0,1.0,1.0,0.5,0.5516323285655766,4887.967971239168,126
06073018608,0.0,1.0,0.0,1.0,0.5,-0.5129418354809664,2825.312823531401,127
06073018613,0.0,1.0,0.0,1.0,0.5,-0.0465009106201064,5370.396245252804,128
06073018609,0.0,1.0,0.0,1.0,0.5,0.5817868628234631,5271.954325546638,129
06073018512,0.0,1.0,0.0,1.0,0.5,0.9080938659588432,4065.991450827941,130
06073018601,0.0,1.0,0.0,1.0,0.5,-0.4272341063379254,6731.917366953037,131
06073019804,0.0,1.0,1.0,0.0,0.5,-0.6622353058179986,18456.015278603434,132
06073019905,0.0,1.0,0.0,1.0,0.5,-0.4109738715005003,15999.377536359738,133
06073018520,0.0,1.0,0.0,1.0,0.5,-0.1169964979854437,3418.33272364123,134
06073017034,0.0,0.0,1.0,1.0,0.5,-0.4361109961136871,13596.119892605704,135
