GEOID,pareto_k
06073015902,0.9239312743219626
06073016000,1.4016412071501443
06073016100,1.1873163707382368
06073016201,1.0376162174434131
06073016202,1.141800708699315
06073016301,1.2393806254417683
06073016302,1.2492246644023421
06073016401,1.2430782387617274
06073016403,1.2300906241564313
06073016404,1.1617648405688799
06073016502,1.193012323475007
06073016503,1.2219192001558272
06073016504,1.0744965657487735
06073016606,0.9889206496353599
06073016607,0.9054416869782596
06073016608,1.3173494770285068
06073016609,1.3641150036875602
06073016610,1.1051361424970845
06073016613,0.9956879746658591
06073016614,1.4274570561002746
06073016615,1.0855223170282882
06073016616,1.0695005409983538
06073016617,1.0744364542795746
06073016618,4.710045325172556
06073016619,1.1000134844126441
06073016620,1.2236823547987739
06073016621,1.3167697585412041
06073016703,0.9271712548924004
06073016704,1.294176009959981
06073016705,1.0214246568176268
06073016706,1.2046962502894571
06073016804,1.3534870239723535
06073016806,1.3696106734797053
06073016807,1.3395895279974452
06073016809,1.5419119773289884
06073016810,1.191863077726836
06073016811,1.2458124717834265
06073016812,1.0150004318683432
06073016813,1.7550842327172913
06073016901,1.604144716428158
06073016902,1.0471941620374747
06073017006,1.2171608260322075
06073017009,1.3161360910276165
06073017010,1.9669239575394386
06073017014,1.0837346324063222
06073017018,1.1824153780712727
06073017020,1.2258360946339282
06073017021,1.4793855047143172
06073017022,1.1438861462301635
06073017031,1.0302885041204413
06073017033,1.3016245160529956
06073017034,0.9659802414569596
06073017035,1.3507123042243436
06073017036,0.935125741168585
06073017037,1.2824984255798229
06073017039,2.084086210788475
06073017040,1.3077599738370238
06073017041,1.3823440586501679
06073017043,1.193110075771688
06073017044,1.297058455523346
06073017045,1.0522618856815134
06073017046,1.0652075427994412
06073017047,0.9844349565061837
06073017048,1.0573780144227678
06073017049,1.2247713683575796
06073017050,1.2254533524773301
06073017051,1.138855154996722
06073017052,1.1283522477353254
06073017053,1.4569381847813407
06073017054,1.0813794317221856
06073017055,1.0570148800782213
06073017056,1.052393823715099
06073017057,1.2972560032392415
06073017058,0.9585221493661225
06073017059,1.1208820393217505
06073017060,1.2594190562431617
06073017061,1.2661741493770085
06073017062,1.2111620504896305
06073017063,1.323393796923753
06073017064,1.0719424821115382
06073017065,1.2991633095589221
06073017066,1.6122491931764538
06073017067,1.0014690305356537
06073017068,1.2118522500563336
06073017069,0.9928957523026818
06073017070,1.0992011877011905
06073017071,1.2553202742486775
06073017104,1.1644312373114143
06073017106,1.1030085537629475
06073017107,1.0293406535511014
06073017108,0.9221319831591442
06073017109,0.9878977647144473
06073017111,1.1825875613102472
06073017112,1.2367758042634105
06073017113,1.4434452004398948
06073017201,0.9851768529919217
06073017202,1.0474539694858123
06073017303,0.969696272961111
06073017305,1.079754072348157
06073017306,1.2409325321498976
06073017307,1.0830545424194855
06073017308,0.9129700153733948
06073017403,1.1369855372725188
06073017405,1.1574425377945674
06073017406,1.0841869638197565
06073017407,1.0367883239526239
06073017408,0.9657731541386586
06073017501,1.6516286300982261
06073017502,1.3441334266421623
06073017601,0.8698741152503955
06073017603,1.2127669257041305
06073017605,0.9895881902304143
06073017606,1.0885416100523435
06073017701,0.9750347289397205
06073017702,0.9595187801268108
06073017801,1.2038753484031286
06073017808,1.3480781072527277
06073017809,0.996792651545996
06073017810,1.0800572409580649
06073017811,1.0265473394154936
06073017813,1.2327576639010274
06073017901,1.1252234049959342
06073017902,1.1464669837416588
06073018000,1.222654960697021
06073018101,0.9434858880677782
06073018102,1.1671909257268243
06073018201,1.007688523461888
06073018202,1.087119722310706
06073018301,1.106337020209911
06073018302,1.0716673569188464
06073018400,1.1170926869430002
06073018504,0.9035208578818197
06073018509,1.1419479582490442
06073018510,1.234553106546983
06073018511,1.257989432153845
06073018512,1.1328547614338347
06073018515,1.2155549453739265
06073018516,1.100635546859912
06073018517,0.8783269721767915
06073018518,1.1692112963817327
06073018519,0.8724677077445219
06073018520,1.8044306519458055
06073018521,1.0256144922837866
06073018522,2.130792958635694
06073018523,0.7370137315225919
06073018524,2.109492339154532
06073018525,0.9732933680539645
06073018601,1.2302433974654379
06073018608,1.0009228630025606
06073018609,1.1785324780001516
06073018612,1.2476625650399393
06073018613,1.1025492525911031
06073018615,1.0626084917006038
06073018616,1.1364156442139126
06073018617,1.3115491830827024
06073018618,1.0676227464770496
06073018619,1.0898044909599676
06073018620,1.3490190570257907
06073018621,1.323365791867185
06073018622,1.2307554499845352
06073018801,1.0918647390971934
06073018803,1.1164502383984234
06073018804,1.0895563646808595
06073018805,1.2866426099643653
06073018906,1.1015060585479124
06073019103,0.9970780171316663
06073019105,1.21251101458206
06073019107,1.7536202168617656
06073019108,1.1854687300766522
06073019109,1.5536725164066636
06073019110,1.0926444856427313
06073019111,1.2165248346881303
06073019203,0.971822517603474
06073019205,1.3819619459339276
06073019206,1.1998130865765362
06073019208,1.1546354990892511
06073019209,1.2091840588135696
06073019210,1.1203312853169303
06073019301,1.252107041564198
06073019303,1.3334654896407567
06073019304,1.1723441146267637
06073019305,0.9997032239271065
06073019403,1.2197489316316963
06073019404,1.081157764463667
