GEOID,Jobs (LODES)_desert,Hospitals_desert,Groceries_desert,Schools_desert,n_deserts,multi_desert,disadvantage_z,posterior_mean_jobs
06073008378,False,False,False,False,0,False,2.261279041390285,54227.309576636224
06073008379,False,False,False,False,0,False,2.986305793867295,54819.41983897858
06073008380,False,False,False,False,0,False,0.1308225561743007,6124.0164902002525
06073008381,False,False,False,False,0,False,-0.7981364751687264,6257.697606992831
06073008501,False,True,True,True,3,True,-0.2996678596360542,6438.0483556976515
06073008502,False,False,False,False,0,False,0.4853274288370821,9901.400226233847
06073008503,False,False,False,False,0,False,0.1060913843037857,10194.609549774817
06073008504,False,False,False,False,0,False,0.0127432111658382,8812.490443914989
06073008505,False,False,False,False,0,False,0.2357790350794334,5739.017584659939
06073008506,False,False,False,False,0,False,0.0296292934439967,7634.45490723354
06073008507,False,False,False,False,0,False,0.2749494701560339,7906.168492962859
06073008509,False,False,False,False,0,False,0.0854286491259365,8740.919563936715
06073008510,False,False,False,False,0,False,0.7784691002600647,27330.404107800827
06073008511,False,False,False,False,0,False,-0.2077993089233007,104728.18111255344
06073008512,False,False,False,False,0,False,0.0590616454551912,8248.236751848295
06073008513,False,False,False,False,0,False,-0.4722026212566872,8419.092961057851
06073008600,False,False,False,False,0,False,0.5936147779837492,29584.24486648617
06073008701,False,False,False,False,0,False,0.2742169094659764,25601.055160689437
06073008702,False,False,False,False,0,False,0.389135131147795,27715.10601426306
06073008800,False,False,False,False,0,False,1.1178006778141911,36789.85589587462
06073008901,False,False,False,False,0,False,0.1012666245608461,34960.00417520835
06073008902,False,False,False,False,0,False,0.3091638675898656,29425.530448397785
06073009000,False,False,False,False,0,False,-0.2035795602023665,32019.094140886664
06073009101,False,False,False,False,0,False,-0.1977458650938143,8463.659286107064
06073009102,False,False,False,False,0,False,0.8873376797707971,7010.573377050236
06073009103,False,False,False,False,0,False,-0.4955585884944617,9366.992550492905
06073009104,False,True,True,False,2,False,-0.4666120397313889,8409.49786104015
06073009107,False,False,False,False,0,False,1.1785704906576246,33788.03240497186
06073009108,False,False,False,False,0,False,-0.0617485322005741,26578.917371156593
