GEOID,rank_det,rank_bayes,rank_delta,jobs_C000_45min,posterior_mean_jobs,disadvantage_z,exceedance_prob_45min,ci_width_log1p
06073013421,429.0,431.0,2.0,7910.0,7898.004818896263,-0.4668753284260155,0.00015625,0.3393245148411612
06073013417,458.0,460.0,2.0,6526.0,6512.765440690827,-0.6186156911987125,0.00178125,0.3440178844425077
06073002501,231.0,229.0,-2.0,16451.0,16439.031273857476,1.2513328244038435,0.0,0.34019564456902884
06073021305,653.0,655.0,2.0,1410.0,1412.0739716475355,-0.5145283488024215,1.0,0.350982297376758
06073021900,246.0,248.0,2.0,15672.0,15522.816422034959,1.1300792654498106,3.125e-05,0.3495992400263752
06073014101,430.0,428.0,-2.0,7897.0,7910.196262993198,-0.0920898069681972,9.375e-05,0.3383416612086503
06073009703,395.0,397.0,2.0,8971.0,8960.652563205276,-0.4328808823353495,0.0,0.3386191659201838
06073017022,242.0,244.0,2.0,15830.0,15715.450038566953,-0.3744746091479123,0.0,0.3438610543720202
06073017014,468.0,466.0,-2.0,6420.0,6452.732992291612,1.0840638107956064,0.0014375,0.3403810660177289
06073016902,640.0,642.0,2.0,1888.0,1873.7796456249828,-0.173575413070717,0.99996875,0.3631275349022074
06073010016,597.0,599.0,2.0,3076.0,3064.3608077981894,-0.5236682336308077,0.99903125,0.3460260487758813
06073016705,497.0,495.0,-2.0,5529.0,5568.768805447459,0.6579170538723962,0.00846875,0.3315177352777301
06073010005,494.0,492.0,-2.0,5571.0,5634.988095197107,1.7482325491284785,0.00659375,0.34304877184328575
06073010010,413.0,411.0,-2.0,8411.0,8448.96814445994,0.789888497901342,3.125e-05,0.3450574885711504
06073010502,549.0,547.0,-2.0,4273.0,4318.592698160044,0.849586431717221,0.70915625,0.3492104391236328
06073010001,266.0,268.0,2.0,14764.0,14707.97163460244,-0.0309601657222379,0.0,0.33984551301489674
06073003208,593.0,591.0,-2.0,3171.0,3215.67670366289,0.3393965956934965,0.99378125,0.3581823436422562
06073016614,287.0,289.0,2.0,13902.0,13833.251753554285,0.2145126677635442,9.375e-05,0.33971476189116423
06073010402,526.0,524.0,-2.0,4860.0,4921.798969759659,1.011063454087669,0.09484375,0.3496595999507246
06073020034,323.0,325.0,2.0,12425.0,12341.58757382294,-1.485189577174418,3.125e-05,0.34698654056405687
06073020035,504.0,506.0,2.0,5367.0,5367.585037199216,-0.9079241540300405,0.02215625,0.34876878377802
06073003115,525.0,523.0,-2.0,4876.0,4923.968016174823,0.970825555706393,0.09428125,0.34357774090946513
06073020403,298.0,300.0,2.0,13142.0,13069.501571316245,-0.1734409185511822,0.0,0.34585901929863283
06073002804,236.0,234.0,-2.0,16272.0,16234.335114392794,0.5818017707714785,0.0,0.33384876834156074
