GEOID,wasserstein_topq_reference_pool
06073017112,38440.96606198875
06073017113,37137.48940547106
06073017201,33026.46056680471
06073017202,30326.246335401487
06073017303,26570.111739154254
06073017305,34514.63747358997
06073017306,34527.68740705247
06073017307,22013.724917835465
06073017308,29111.48818602954
06073017403,35488.601277435395
06073017405,27245.812225470934
06073017406,33775.668831713265
06073017407,24879.299339708024
06073017408,24242.115735270727
06073017501,13559.827742945234
06073017502,20349.458614211384
06073017601,34936.64414563286
06073017603,26889.88763945356
06073017605,22934.965194751352
06073017606,13769.625895469539
06073017701,31751.054449967723
06073017702,18440.648723089264
06073017801,13636.761728454496
06073017808,38178.94576537702
06073017809,16666.71791574173
06073017810,22150.534411888555
06073017811,25539.0339423293
06073017813,27153.29525701392
06073017901,15161.38515808532
06073017902,22097.953711254195
06073018000,19045.96710562417
06073018101,17187.047219741205
06073018102,13661.528990603925
06073018201,13873.511490021254
06073018202,14422.316125917025
06073018301,21603.851582604675
06073018302,17982.40585009613
06073018400,20852.230245123326
06073018504,19963.54009163883
06073018509,21207.34705919732
06073018510,24655.030483991348
06073018511,15575.528282463421
06073018512,35023.21359716751
06073018515,33801.926375797026
06073018516,31576.666567631375
06073018517,18339.964581887052
06073018518,26277.64088727519
06073018519,16714.798382036915
06073018520,35668.64906780937
06073018521,30829.815842285414
06073018522,26724.77420364825
06073018523,28333.89107649586
06073018524,35620.077064868194
06073018525,35995.99293351074
06073018601,32347.86703095274
06073018608,36270.69571878326
06073018609,33813.63122655046
06073018612,38199.05923178027
06073018613,33715.215388861376
06073018615,26961.310866762604
06073018616,25085.978105659487
06073018617,38432.21870050672
06073018618,31924.821684825303
06073018619,38307.233345638255
06073018620,36636.517094726245
06073018621,24729.25093708677
06073018622,28782.323561449477
06073018801,37497.1924200797
06073018803,37962.75856831627
06073018804,38186.91914360452
06073018805,38754.89958598973
06073018906,37484.33226334151
06073019103,38138.246570917065
06073019105,38490.20612749088
06073019107,39002.214988635635
06073019108,36805.330403605294
06073019109,38529.85430058478
06073019110,37038.40248702015
06073019111,36910.24795162656
06073019203,35897.400737424505
06073019205,34778.19641054413
06073019206,27289.494535356007
06073019208,36319.35742255263
06073019209,38697.71274772457
06073019210,32464.052173855915
06073019301,36632.6659106523
06073019303,35374.040300772125
06073019304,23666.21173473196
06073019305,26134.312658025377
06073019403,31978.634855393353
06073019404,28424.6049728974
06073019405,22523.365981832874
06073019406,24801.956686463145
06073019501,19997.81821224534
06073019502,19698.607039980103
06073019503,13996.606766369237
06073019601,32599.636872629108
06073019602,32631.014183519084
06073019701,32585.341015146532
06073019702,31151.73533073754
06073019803,30971.581004567368
06073019804,20579.733409870223
06073019805,26992.93697968998
06073019808,37685.345139642915
06073019809,21516.764599403396
06073019810,26380.09840370421
06073019811,15759.568729979552
06073019902,18403.916131070248
06073019903,26108.771441797227
06073019904,22494.70267784767
06073019905,23046.930748669703
06073020015,36618.307836360254
06073020017,20153.79783203883
06073020019,14122.15612593668
06073020021,14296.58873396065
06073020023,18521.138076141535
06073020024,27749.39978928312
06073020025,14561.35272745499
06073020026,19459.60033203567
06073020028,13483.865698899363
06073020029,15596.885024730613
06073020030,23723.514172711202
06073020031,33289.211955031686
06073020032,38217.95316131656
06073020033,38207.23817228086
06073020034,26718.670794819478
06073020035,33717.43394964899
06073020036,15678.475486856276
06073020037,13489.380074412178
06073020038,36385.866797245006
06073020039,22357.749850612872
06073020040,31277.859217515386
06073020041,28629.138728500493
06073020042,36033.03932237803
06073020043,38141.939106109334
06073020044,38163.998684330116
06073020105,30533.512081764286
06073020106,37173.017591054915
06073020107,27384.85901070879
06073020108,15430.974248514523
06073020109,24762.094338279567
06073020110,38063.73765395215
06073020111,38715.694857296265
06073020202,17109.55914780928
06073020206,18563.889544747995
06073020207,25079.69705097857
06073020208,24326.32526152203
06073020209,24532.614064695535
06073020210,26039.359151046116
06073020211,18532.670655661506
06073020213,17155.53059923163
06073020214,16414.47038098278
06073020304,37334.49168691647
06073020305,32909.57481534813
06073020308,26574.14004168286
06073020309,28383.721534408705
06073020310,33711.39120259106
06073020311,35467.16536756442
06073020312,39020.656593296124
06073020313,13504.166541896857
06073020401,37636.36050385684
06073020403,25988.80606288089
06073020404,29873.03463733967
06073020405,35373.35668930875
06073020500,15677.431448817144
06073020601,15761.784718755365
06073020602,17455.583728222107
06073020705,31706.892221451675
06073020706,36847.16676988485
06073020707,18624.92850077978
06073020708,35018.61877506594
06073020710,38586.432005907816
06073020711,38721.64936505127
06073020712,37321.253325084974
06073020801,38457.173023178235
06073020805,36924.68134345613
06073020806,36350.34698256703
06073020807,38686.37032648526
06073020810,38402.44911884252
06073020811,38402.03590926581
06073020812,36848.577957476504
06073020813,37994.0260263074
06073021204,38484.918342152654
06073021205,36995.8853885343
06073021206,38609.58906516651
06073021304,37521.22989395927
06073021305,37688.17199805029
06073021306,38703.512010886414
06073021401,13935.009092746834
06073021402,20758.588031078314
06073021501,36104.30582258011
06073021502,37222.560096535715
06073021600,37834.08962177829
06073021800,33277.84842178651
06073021900,23523.32850394453
06073022000,26860.402015459735
06073022101,13529.466172171104
06073022102,22727.388488193028
