GEOID,det_jobs,exceedance_prob,disadvantage_z,det_desert,bayes_desert,classification
06073007800,13068.0,0.0,0.1503857772545698,False,False,TN
06073007905,12420.0,6.25e-05,0.3555184298434868,False,False,TN
06073007907,14109.0,0.0,0.3310415734219054,False,False,TN
06073007908,13162.0,0.0,0.2338093626724554,False,False,TN
06073007910,11161.0,0.0,0.255800528933136,False,False,TN
06073007911,11687.0,0.0,0.4770036234770701,False,False,TN
06073007912,11572.0,0.0,-0.0028066363250097,False,False,TN
06073008002,11572.0,0.0,-0.9254172360063057,False,False,TN
06073008003,12721.0,0.0,-0.4069401887661851,False,False,TN
06073008006,10901.0,0.0,-0.3724097213670298,False,False,TN
06073008101,11067.0,3.125e-05,-0.0222759993845654,False,False,TN
06073008102,11998.0,3.125e-05,-0.9065899455858508,False,False,TN
06073008201,10120.0,3.125e-05,-0.0043278823116396,False,False,TN
06073008202,8893.0,3.125e-05,2.434332382523154,False,False,TN
06073008301,5852.0,0.00465625,-1.2584240592448006,False,False,TN
06073008303,7956.0,0.00034375,-1.0410175036061953,False,False,TN
06073008305,60605.0,0.0,0.313179794634533,False,False,TN
06073008306,3392.0,0.99415625,-1.08869080123739,True,True,TP
06073008307,26870.0,0.0,0.0008927207087381,False,False,TN
06073008310,5854.0,0.005125,-0.6250915543220728,False,False,TN
06073008311,7956.0,0.000375,-1.3997580933262377,False,False,TN
06073008312,38534.0,0.0,-0.4293613877056894,False,False,TN
06073008313,34147.0,0.0,-1.0615035696949884,False,False,TN
06073008324,15065.0,0.0,-0.9172053514699048,False,False,TN
06073008327,16308.0,6.25e-05,-0.8399619892647144,False,False,TN
06073008328,927.0,1.0,-1.3335094072813949,True,True,TP
06073008330,17215.0,0.0,-0.6308629740632714,False,False,TN
06073008331,16026.0,0.0,-1.1963808879607642,False,False,TN
06073008336,6037.0,0.0038125,-1.1736753843498229,False,False,TN
06073008337,5605.0,0.00896875,-1.022799207836012,False,False,TN
06073008339,43372.0,6.25e-05,1.6423261133730538,False,False,TN
06073008343,58617.0,0.0,1.286228281871524,False,False,TN
06073008344,22739.0,0.0,-0.8913877604640533,False,False,TN
06073008345,4932.0,0.08640625,0.2360240381060351,False,False,TN
06073008346,36593.0,0.00025,-0.9266307155489254,False,False,TN
06073008347,3281.0,0.99421875,-0.604165307200443,True,True,TP
06073008348,4984.0,0.06871875,-0.4095475490213343,False,False,TN
06073008349,7502.0,0.00025,-0.0965170656384237,False,False,TN
06073008350,50131.0,0.0,-0.0243406420802063,False,False,TN
06073008351,61684.0,0.0,-0.5387801888990307,False,False,TN
06073008352,7592.0,0.000125,-0.3534728209300631,False,False,TN
06073008353,5360.0,0.0166875,-0.3993639846960017,False,False,TN
