stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,intersection_code,reference_place,stop_name_short,stop_place
mts:40469,40469,Broadway & 3rd St,32.80784596,-116.92722454,,,0,,1,F-W/B,,Brdwy&3rd,
mts:10841,10841,Broadway & 4th Av,32.71579056,-117.16088030,,,0,,1,N-W/B,,Brdwy&4th,bro4th
mts:10097,10097,Broadway & 5th Av,32.71566019,-117.16029699,,,0,,0,N-E/B,,Brdwy&5th,5thbro
mts:13312,13312,Broadway & 5th Av,32.71576782,-117.16005100,,,0,,0,N-W/B,,Brdwy&5th,bro4th
mts:99237,99237,Broadway & 65th St,32.71596284,-117.05722649,,,0,,0,M-Street-W/B,,Brdwy&65th,
mts:99238,99238,Broadway & 65th St,32.71583160,-117.05754066,,,0,,0,F-E/B,,Brdwy&65th,
mts:10099,10099,Broadway & 6th Av,32.71566351,-117.15947446,,,0,,0,N-E/B,,Brdwy&6th,bro6th
mts:13088,13088,Broadway & 7080,32.74266336,-117.04511925,,,0,,1,M-Street-W/B,,Brdwy&7080,
mts:40918,40918,Broadway & 7081,32.74238868,-117.04594608,,,0,,1,M-Street-E/B,,Brdwy&7081,
mts:13311,13311,Broadway & 8th Av,32.71581075,-117.15724596,,,0,,0,N-W/B,,Brdwy&8th,
mts:13315,13315,Broadway & 8th Av,32.71564498,-117.15702739,,,0,,0,F-E/B,,Brdwy&8th,
mts:30463,30463,Broadway & Anita St,32.59886635,-117.07670515,,,0,,1,F-N/B,,Brdwy&Anita,
mts:60239,60239,Broadway & Anita St,32.59881766,-117.07699692,,,0,,1,N-S/B,,Brdwy&Anita,
mts:40308,40308,Broadway & Anza St,32.80783031,-116.94780312,,,0,,1,N-W/B,,Brdwy&Anza,
mts:40194,40194,Broadway & Ballantyne St,32.80757869,-116.95772431,,,0,,1,F-E/B,,Brdwy&Ballantyne,broba1
mts:40443,40443,Broadway & Ballantyne St,32.80781721,-116.95878722,,,0,,1,F-W/B,,Brdwy&Ballantyne,brobal
mts:40216,40216,Broadway & Bostonia St,32.80761149,-116.93336410,,,0,,1,F-E/B,,Brdwy&Bostonia,
mts:40464,40464,Broadway & Bostonia St,32.80783742,-116.93375966,,,0,,1,F-W/B,,Brdwy&Bostonia,
mts:40130,40130,Broadway & Buena Vista Av,32.74255179,-117.03377786,,,0,,1,F-E/B,,Brdwy&Buena Vista,
mts:40364,40364,Broadway & Buena Vista Av,32.74281513,-117.03472334,,,0,,1,F-W/B,,Brdwy&Buena Vista,
mts:60233,60233,Broadway & Chula Vista St,32.64616957,-117.09548059,,,0,,1,N-S/B,,Brdwy&Chula Vista,
mts:40221,40221,Broadway & Coleen Ct,32.80761438,-116.92885329,,,0,,1,F-E/B,,Brdwy&Coleen,
mts:10836,10836,Broadway & Columbia St,32.71580373,-117.16726261,,,0,,1,N-W/B,,Brdwy&Columbia,
mts:60287,60287,Broadway & D St,32.64448650,-117.09482449,,,0,,1,F-S/B,,Brdwy&D,
mts:60409,60409,Broadway & D St,32.64505564,-117.09479420,,,0,,1,F-N/B,,Brdwy&D,
mts:40472,40472,Broadway & E Main St,32.80783872,-116.92301957,,,0,,1,F-W/B,,Brdwy&E Main,broemn
mts:60411,60411,Broadway & E St,32.64196910,-117.09358869,,,0,,1,F-N/B,,Brdwy&E,
mts:60291,60291,Broadway & F St,32.63733456,-117.09206639,,,0,,1,F-S/B,,Brdwy&F,
mts:10090,10090,Broadway & Front St,32.71559826,-117.16495210,,,0,,0,N-E/B,,Brdwy&Front,brofro
mts:60292,60292,Broadway & G St,32.63411368,-117.09080782,,,0,,2,F-S/B,,Brdwy&G,
mts:60413,60413,Broadway & G St,32.63487769,-117.09081835,,,0,,1,F-N/B,,Brdwy&G,
mts:40191,40191,Broadway & Graves Av,32.80755804,-116.95988518,,,0,,1,F-E/B,,Brdwy&Graves,grabro
mts:10724,10724,Broadway & Grove St,32.74267389,-117.02707618,,,0,,1,F-E/B,,Brdwy&Grove,
mts:11463,11463,Broadway & Grove St,32.74289609,-117.02757897,,,0,,1,F-W/B,,Brdwy&Grove,
mts:30342,30342,Broadway & H St,32.63048710,-117.08938958,,,0,,1,F-S/B,,Brdwy&H,
mts:60414,60414,Broadway & H St,32.63156087,-117.08951998,,,0,,1,F-N/B,,Brdwy&H,
mts:60506,60506,Broadway & H St,32.62998207,-117.08888458,,,0,,2,N-N/B,,Brdwy&H,
mts:60294,60294,Broadway & I St,32.62682763,-117.08795491,,,0,,1,F-S/B,,Brdwy&I,
mts:60351,60351,Broadway & I St,32.62691464,-117.08768940,,,0,,1,N-N/B,,Brdwy&I,
mts:60295,60295,Broadway & J St,32.62364510,-117.08671000,,,0,,1,F-S/B,,Brdwy&J,
mts:60415,60415,Broadway & J St,32.62464768,-117.08680070,,,0,,1,F-N/B,,Brdwy&J,
mts:60296,60296,Broadway & K St,32.62005956,-117.08531197,,,0,,1,F-S/B,,Brdwy&K,
mts:60416,60416,Broadway & K St,32.62104014,-117.08540569,,,0,,1,F-N/B,,Brdwy&K,
mts:10454,10454,Broadway & Kettner Bl,32.71562174,-117.16881806,,,0,broket,1,F-E/B,,Brdwy&Kettner,broket
mts:10833,10833,Broadway & Kettner Bl,32.71585722,-117.16893756,,,0,broket,1,N-W/B,,Brdwy&Kettner,broket
mts:60299,60299,Broadway & L St,32.61673165,-117.08402041,,,0,,1,F-S/B,,Brdwy&L,brol
mts:60422,60422,Broadway & L St,32.61760544,-117.08405465,,,0,,1,F-N/B,,Brdwy&L,brol
mts:60408,60408,Broadway & Macintosh St,32.64723487,-117.09564349,,,0,,1,F-N/B,,Brdwy&Macintosh,
mts:99239,99239,Broadway & Madera St,32.71583871,-117.05350597,,,0,,1,N-E/B,,Brdwy&Madera,
mts:60241,60241,Broadway & Main St,32.59535568,-117.07560408,,,0,,0,N-S/B,,Brdwy&Main,
mts:60430,60430,Broadway & Main St,32.59573053,-117.07544525,,,0,,1,M-Street-N/B,,Brdwy&Main,
mts:11458,11458,Broadway & Main St (Lemon Grove Depot),32.74283905,-117.03138680,,,0,,1,F-W/B,,Brdwy&Main (Lmn Grv Depot),brotro
mts:10701,10701,Broadway & Massachusetts Av,32.74244460,-117.04238219,,,0,,1,F-E/B,,Brdwy&Mass,
mts:11441,11441,Broadway & Massachusetts Av,32.74269114,-117.04336657,,,0,,1,F-W/B,,Brdwy&Mass,
mts:40202,40202,Broadway & Mollison Av,32.80759726,-116.95061322,,,0,,1,F-E/B,,Brdwy&Mollison,bromol
mts:40449,40449,Broadway & Mollison Av,32.80782446,-116.95174437,,,0,,1,F-W/B,,Brdwy&Mollison,bromo1
mts:60300,60300,Broadway & Moss St,32.61328590,-117.08267588,,,0,,1,F-S/B,,Brdwy&Moss,
mts:60423,60423,Broadway & Moss St,32.61411039,-117.08268366,,,0,,1,F-N/B,,Brdwy&Moss,
mts:41295,41295,Broadway & N 2nd St,32.80754122,-116.93651756,,,0,,1,N-E/B,,Brdwy&N 2nd,2ndbro
mts:10449,10449,Broadway & N Harbor Dr,32.71559981,-117.17249172,,,0,,1,F-E/B,,Brdwy&N Harbor,brohar
mts:60301,60301,Broadway & Naples St,32.60986487,-117.08133169,,,0,,1,F-S/B,,Brdwy&Naples,
mts:60358,60358,Broadway & Naples St,32.60997939,-117.08105999,,,0,,1,N-N/B,,Brdwy&Naples,
mts:60302,60302,Broadway & Oxford St,32.60641366,-117.07997757,,,0,,1,F-S/B,,Brdwy&Oxford,
mts:60424,60424,Broadway & Oxford St,32.60733681,-117.08002847,,,0,,1,F-N/B,,Brdwy&Oxford,
mts:10828,10828,Broadway & Pacific Hwy,32.71584424,-117.17178225,,,0,,1,F-W/B,,Brdwy&Pcfc Hwy,brohar
mts:99026,99026,Broadway & Pacific Hwy,32.71559841,-117.17047269,,,0,,1,F-E/B,,Brdwy&Pcfc Hwy,bropac
mts:60192,60192,Broadway & Palomar St,32.60407270,-117.07904962,,,0,,1,N-S/B,,Brdwy&Palomar,
mts:60426,60426,Broadway & Palomar St,32.60390757,-117.07867465,,,0,,1,F-N/B,,Brdwy&Palomar,
mts:10109,10109,Broadway & Park Bl,32.71570092,-117.15401278,,,0,citcol,1,N-E/B,,Brdwy&Park,citcol
mts:99342,99342,Broadway & Park Bl,32.71583248,-117.15406290,,,0,citcol,2,F-W/B,,Brdwy&Park,citcol
mts:40981,40981,Broadway & St John's Plaza,32.74407958,-117.02162806,,,0,,1,M-Street-W/B,,Brdwy&St John's Pza,
mts:10086,10086,Broadway & State St,32.71556890,-117.16668470,,,0,,1,N-E/B,,Brdwy&State,amplza
mts:99258,99258,Broadway & Sweetwater Rd,32.74485626,-117.02005100,,,0,,0,N-E/B,,Brdwy&Swtwter,
mts:99259,99259,Broadway & Sweetwater Rd,32.74507808,-117.02017978,,,0,,1,F-W/B,,Brdwy&Swtwter,
mts:10839,10839,Broadway & Union St,32.71582402,-117.16538198,,,0,,1,N-W/B,,Brdwy&Union,brouni
mts:40021,40021,Broadway & Washington St,32.74324100,-117.02342894,,,0,,1,N-E/B,,Brdwy&Wshngtn,
mts:40380,40380,Broadway & Washington St,32.74351409,-117.02327198,,,0,,1,F-W/B,,Brdwy&Wshngtn,wasbro
mts:10705,10705,Broadway & West St,32.74268804,-117.03870614,,,0,,1,F-W/B,,Brdwy&West,
mts:10708,10708,Broadway & West St,32.74249559,-117.03828489,,,0,,1,F-E/B,,Brdwy&West,
mts:99440,99440,Broadway Pier,32.71603823,-117.17340665,,,0,,2,,,Brdwy Pier,bropie
mts:10720,10720,Brookhaven Rd & Woodway Ct,32.69910321,-117.03038804,,,0,,0,M-Street-E/B,,Brookhaven&Woodway,
mts:99233,99233,Brooklyn Av & 63rd St,32.71324653,-117.06237089,,,0,,1,N-W/B,,Brooklyn&63rd,
mts:99235,99235,Brooklyn Av & 65th St,32.71324560,-117.05832974,,,0,,1,F-W/B,,Brooklyn&65th,
mts:99234,99234,Brooklyn Av & Stork St,32.71311932,-117.06081893,,,0,,2,F-E/B,,Brooklyn&Stork,
mts:98082,98082,Buckman Springs Rd & 2030-2060,32.66248582,-116.48799570,,,0,,2,M-Street-S/B,,Buckman Sprgs&2030-2060,
mts:98081,98081,Buckman Springs Rd & 2041-2087,32.66257121,-116.48789521,,,0,,2,M-Street-N/B,,Buckman Sprgs&2041-2087,
mts:98083,98083,Buckman Springs Rd & Cameron Truck Trail,32.67439353,-116.48859327,,,0,,2,M-Street-S/B,,Buckman Sprgs&Cameron Truck Trail,
mts:98084,98084,Buckman Springs Rd & Cameron Truck Trail,32.67449549,-116.48845381,,,0,,2,F-N/B,,Buckman Sprgs&Cameron Truck Trail,
mts:98079,98079,Buckman Springs Rd & Freedom Ranch,32.65011669,-116.48723462,,,0,,2,M-Street-N/B,,Buckman Sprgs&Freedom Ranch,
mts:98102,98102,Buckman Springs Rd & Hwy 94,32.62908420,-116.47190147,,,0,,2,F-N/B,,Buckman Sprgs&Hwy 94,campo
mts:98090,98090,Buckman Springs Rd & Mountain Empire Hs,32.73441187,-116.49360746,,,0,,2,M-Street-N/B,,Buckman Sprgs&Mtn Empire Hs,
mts:98080,98080,Buckman Springs Rd & Opp Freedom Ranch,32.65010259,-116.48741651,,,0,,2,M-Street-S/B,,Buckman Sprgs&Opp Freedom Ranch,
mts:98091,98091,Buckman Springs Rd & Opp Mountain Empire Hs,32.73461498,-116.49374460,,,0,,2,M-Street-S/B,,Buckman Sprgs&Opp Mtn Empire Hs,
mts:98092,98092,Buckman Springs Rest Area,32.75821458,-116.48437060,,,0,,1,M-Special_Loc,,Buckman Sprgs Rest Area,bucspr
mts:41017,41017,Business 8 & 13162,32.82846907,-116.90919888,,,0,,2,M-Street-S/B,,Bus 8&13162,
mts:40934,40934,Business 8 & 13450,32.83369883,-116.90413663,,,0,,2,M-Street-N/B,,Bus 8&13450,
mts:40903,40903,Business 8 & 13460,32.83565605,-116.90147833,,,0,,2,M-Street-N/B,,Bus 8&13460,
mts:40999,40999,Business 8 & 13460,32.83572601,-116.90176208,,,0,,1,M-Street-S/B,,Bus 8&13460,
mts:40936,40936,Business 8 & 13490,32.83689178,-116.89855088,,,0,,2,M-Street-N/B,,Bus 8&13490,
mts:40966,40966,Business 8 & 13490,32.83681231,-116.89902887,,,0,,2,M-Street-S/B,,Bus 8&13490,
mts:40967,40967,Business 8 & 13545,32.83740876,-116.89797518,,,0,,2,M-Street-S/B,,Bus 8&13545,
mts:41014,41014,Business 8 & Aurora Dr,32.82340032,-116.91341215,,,0,,2,F-S/B,,Bus 8&Aurora,
mts:40327,40327,Business 8 & East Lakeview Rd,32.84033063,-116.89372186,,,0,,1,F-S/B,,Bus 8&ELakeview,
mts:40937,40937,Business 8 & El Dorado Pkwy,32.83991947,-116.89403792,,,0,,2,N-N/B,,Bus 8&El Dorado,
mts:40938,40938,Business 8 & El Dorado Pkwy,32.84073594,-116.89189182,,,0,,2,F-E/B,,Bus 8&El Dorado,
mts:40904,40904,Business 8 & Kay Jay Ln,32.83853713,-116.89611471,,,0,,2,N-N/B,,Bus 8&Kay Jay,
mts:41001,41001,Business 8 & Kay Jay Ln,32.83863789,-116.89629452,,,0,,2,F-S/B,,Bus 8&Kay Jay,
mts:40940,40940,Business 8 & Lake Jennings Park Rd,32.84454067,-116.88320671,,,0,,2,N-E/B,,Bus 8&Lake Jennings Park,
mts:40969,40969,Business 8 & Lake Jennings Park Rd,32.84379164,-116.88455903,,,0,,2,F-W/B,,Bus 8&Lake Jennings Park,
mts:40939,40939,Business 8 & Lake Valley Rd,32.84143414,-116.88922389,,,0,,2,F-E/B,,Bus 8&Lake Vly,
mts:41002,41002,Business 8 & Lake Valley Rd,32.84113658,-116.89122014,,,0,,1,F-W/B,,Bus 8&Lake Vly,
mts:40232,40232,Business 8 & Los Coches Rd,32.83248939,-116.90519544,,,0,,2,F-N/B,,Bus 8&Los Coches,
mts:40479,40479,Business 8 & Los Coches Rd,32.83221114,-116.90583795,,,0,,1,F-S/B,,Bus 8&Los Coches,
mts:40965,40965,Business 8 & Los Coches Rd,32.83398997,-116.90417460,,,0,,1,N-S/B,,Bus 8&Los Coches,
mts:40233,40233,Business 8 & Pinkard Ln,32.84194286,-116.88758013,,,0,,2,F-E/B,,Bus 8&Pinkard,
mts:40328,40328,Business 8 & Pinkard Ln,32.84193629,-116.88831916,,,0,,1,N-W/B,,Bus 8&Pinkard,
mts:11710,11710,Business Park Av & Willow Creek Rd,32.90249490,-117.11176876,,,0,,2,N-S/B,,Business Park&Willow Creek,
mts:10138,10138,C St & 26th St,32.71680461,-117.13829122,,,0,,1,N-E/B,,C&26th,
mts:11280,11280,C St & 26th St,32.71695476,-117.13843254,,,0,,1,F-W/B,,C&26th,
mts:10532,10532,C St & 27th St,32.71681943,-117.13584967,,,0,,1,F-E/B,,C&27th,
mts:10904,10904,C St & 27th St,32.71697047,-117.13586744,,,0,,1,N-W/B,,C&27th,
mts:10148,10148,C St & 28th St,32.71683051,-117.13430543,,,0,,1,N-E/B,,C&28th,
mts:11288,11288,C St & 28th St,32.71698302,-117.13411839,,,0,,1,F-W/B,,C&28th,
mts:10166,10166,C St & 30th St,32.71680897,-117.13040045,,,0,,1,M-Street-E/B,,C&30th,c_30st
